AF001787_s_at,M55593_at,U29943_s_at,X99050_rna1_at,HG384-HT384_at,AFFX-CreX-3_st,X58723_at,M96739_at,M84526_at,U22961_s_at,X71348_at,X54938_at,HG3987-HT4257_at,D86479_at,D43638_at,U37143_at,X54162_at,X80230_at,M64099_at,D87684_at,L33799_at,M20530_at,L27560_at,X12901_at,U31201_cds1_at,J02947_s_at,AB000381_s_at,D86974_at,X15882_at,M34181_at,L78833_cds2_at,AC000061_cds3_at,U60519_at,L05500_at,M26061_at,X56692_at,AF000430_at,D42108_at,M90696_at,X15880_at,U21936_at,S71824_at,Y07604_at,U05012_s_at,D83243_at,X69636_at,AC002115_rna2_at,M21574_at,U43747_s_at,J04760_at,HG2994-HT4850_s_at,D50683_at,L13923_at,L33243_at,U13616_at,L02840_at,K01911_at,Z11793_at,CLASS
0.182674,-0.904717,0.184753,-0.435644,-0.664305,0.621543,0.185328,-0.922831,0.565907,0.218107,-0.02439,-0.733177,-0.533174,-0.603113,-0.824766,-0.121597,-0.302211,-0.782748,-0.419271,-0.813163,-0.810313,0.172619,-0.845375,0.123367,0.416058,-0.567158,-0.531915,-0.81365,-0.877623,-0.940401,-0.12599,0.011765,-0.331115,0.344498,-0.819396,-0.530769,-0.014689,-0.964602,0.291188,-0.871801,0.45679,-0.375289,0.039468,-0.573446,-0.795265,-0.194444,-0.452326,-0.98085,-0.700813,0.720613,-0.948779,-0.68729,-0.989319,-0.454154,0.110691,-0.580427,-0.065101,-0.681768,normal
0.050847,-0.719793,0.168767,-0.155116,0.296373,0.445415,0.104247,-0.690577,0.074331,-0.218107,0.204878,-0.370392,-0.386635,-0.581712,-0.767134,-0.284936,-0.44226,-0.913282,-0.145833,-0.884137,-0.598183,-0.104167,-0.350821,0.091437,-0.00365,-0.771224,-0.276596,-0.428674,-0.483067,-0.954568,-0.164867,-0.219608,-0.391015,-0.126794,-0.917965,-0.784615,-0.138983,-0.585335,0.111111,-0.675036,0.130864,-0.338269,-0.24612,-0.06403,-0.715877,-0.482026,-0.334859,-0.977137,-0.876423,0.258518,-0.405721,-0.640888,0.208278,-0.066437,0.009776,-0.870901,0.387407,-0.634254,normal
0.039548,-0.747375,0.422687,-0.264026,0.315548,0.895197,0.320463,0.673147,0.417245,0.197531,-0.278049,-0.086015,-0.729833,0.679961,-0.586449,0.045372,-0.222359,-0.492469,-0.212891,-0.422505,-0.57307,0.559524,-0.442553,0.317852,0.237226,-0.693105,0.271277,-0.845734,-0.84438,-0.08256,-0.032397,-0.078431,-0.517471,0.339713,-0.94213,-0.165385,1,1,-0.042146,-0.375664,-0.451852,0.955576,-0.331264,-0.013183,-0.041783,0.285948,-0.336384,-0.984888,-0.525203,0.51448,-0.898907,-0.741089,-0.668892,0.251543,0.504257,-0.687663,0.27428,-0.528177,normal
1,-0.607272,0.090071,-0.405941,0.973044,0.011645,0.196911,-0.944581,-0.591675,-0.098765,-1,-0.973084,-1,0.58463,-0.03972,0.756806,1,-0.462346,-1,-0.694268,-0.975421,0.169643,-0.631232,0.285922,-0.076642,-0.704663,0.414894,-0.570823,-0.899231,-0.58427,0.085673,-0.164706,0.420965,0.406699,1,-0.442308,0.362712,-0.08976,0.283525,-0.639305,0.37284,-0.74919,-0.566297,-1,0.110028,-0.05719,-0.196034,-0.964957,-0.411382,0.045571,-0.956867,-0.607263,-0.441923,-1,0.435509,1,-0.216649,-0.636464,normal
0.389831,-0.670898,0.220412,-0.514851,0.545366,0.930131,0.277992,-0.42838,0.575818,0.333333,0.443902,-0.303686,-0.594272,-0.417315,-0.30919,-0.190563,-0.342752,-0.864902,-0.257161,-0.698514,-0.320866,-0.008929,-0.04832,0.416546,0.624088,-0.817856,-0.085106,-0.790741,-0.651361,-0.802638,-0.035277,0.270588,-0.610649,0.23445,-0.875994,-0.384615,0.016949,-0.812895,0.08046,-0.350072,-0.101235,-0.645534,-0.151663,-0.131827,-0.52507,0.050654,-0.003814,-0.966716,-0.715447,0.510221,-0.397484,-0.70343,-0.515354,-0.165447,0.472091,-0.867777,0.199573,-0.39337,normal
-0.13371,-0.586585,0.134952,-0.211221,-0.804085,0.449782,0.135135,-0.328566,-0.232904,-0.144033,-0.902439,-0.514336,-0.790931,-0.59144,-0.757788,0.455535,-0.332924,-0.762665,-0.861328,-0.811344,-0.222014,-0.241071,-0.422304,0.364296,-0.306569,-0.610203,-0.675532,-0.491117,-0.431747,-0.899853,-0.236861,-0.047059,0.866889,-0.038278,-0.797774,0.165385,-0.360452,-0.759798,-0.233716,-0.580396,0.432099,-0.627025,-0.259424,-0.564972,-0.45961,0.117647,-0.57132,-0.976356,-0.531707,0.271295,-0.461884,-0.771352,-0.606142,-0.169752,0.313781,-0.798022,-1,-0.623204,normal
0.178908,-0.701614,0.892407,-0.049505,-0.8127,-0.085881,0.416988,0.156052,0.494549,-0.098765,-0.312195,-0.552955,1,-0.495136,0.077103,0.328494,-0.179361,1,1,1,-0.393,0.342262,-0.381193,-0.018868,0.076642,-0.019131,0.941489,-0.833696,-0.610222,-0.100147,1,-0.168627,-0.181364,0.287081,-0.797774,-0.080769,0.577401,-0.152971,0.862069,0.037663,-0.125926,-0.760296,-1,-0.126177,0.764624,0.687908,0.624714,-1,-0.362602,1,-0.820279,-0.496301,-0.616822,0.10231,0.091769,-0.505466,0.267876,-0.477348,normal
0.834275,-0.410124,0.22656,-0.488449,-0.798527,-1,-1,-0.480819,-0.355798,-1,-0.268293,0.177297,0.586635,0.066148,-0.407321,1,-0.431204,-0.35372,0.061849,-0.711859,-0.638792,1,-0.02439,-1,-0.543796,0.932244,0.579787,-0.480007,-0.574278,-0.582316,-0.097192,0.898039,0.021631,-0.940191,-0.788871,-0.346154,0.731073,0.496839,0.532567,0.528489,-0.076543,-0.554836,-0.697118,-0.094162,-0.537604,0.591503,-0.537757,-0.952386,1,0.318995,-0.87764,-0.714862,-0.483311,0.162577,0.482813,-0.66684,-0.916756,-0.596685,normal
0.092279,-0.438019,0.069782,0.023102,-0.589829,0.745269,0.258687,-0.928939,0.433102,-0.041152,-0.385366,-0.736688,-0.556086,0.606031,-0.517913,0.299456,-0.207617,-0.449566,0.632813,-0.751896,0.86428,-0.270833,0.559442,0.207547,0.116788,-0.420486,-0.042553,-0.038156,1,-0.796776,0.166307,0.007843,-0.47421,0.181818,-0.918601,-0.084615,-0.00791,-0.671302,0.237548,-0.013037,0.298765,-0.616844,-0.272727,-0.10452,-0.392758,0.174837,0.199085,-0.965869,-0.769106,0.360733,0.138685,-0.528581,1,-0.138757,0.25134,-0.538782,0.299893,-0.58895,normal
0.062147,-0.680614,0.254227,-0.056106,-0.66486,0.719068,0.138996,-0.084246,0.341923,-0.201646,0.780488,-0.495611,-0.345107,-0.095331,-0.267134,-0.255898,-0.237101,-0.493382,-0.364583,-0.693054,-0.401015,-0.029762,0.191287,0.34688,0.485401,0.365484,1,-0.541364,-0.519634,-0.674646,0.023758,0.015686,0.018303,-0.179426,-0.849285,-0.192308,-0.012429,0.02402,1,0.335828,0.82716,-0.707543,-0.497118,0.323917,-0.384401,0.460784,-0.812357,-0.907572,-0.486179,-0.133731,-0.536019,-0.71419,-0.866489,-0.150237,1,-0.649141,0.671291,-0.527072,normal
0.141243,-0.497571,0.326775,-0.369637,0.124079,0.892285,0.274131,-0.330056,0.462834,0.292181,0.64878,0.206554,-0.397136,0.437743,-0.407321,-0.38657,-0.535627,-0.762665,0.121745,-0.836215,0.286668,0.184524,0.72235,-0.114659,0.39781,-0.601435,0.026596,-0.582118,-0.593808,-0.931607,-0.097192,-0.12549,-0.507488,0.404306,-0.926868,0.111538,-0.141243,-0.77244,0.130268,-0.462096,0.007407,-0.603887,-0.197783,-0.449153,-0.473538,0.052288,-0.336384,-0.927504,-0.689431,0.436542,-0.303879,-0.416947,0.078772,-0.248386,0.246925,-0.760541,0.568837,-0.58895,normal
0.258004,-0.929792,0.136182,-0.50495,-0.117132,0.617176,0.150579,-0.250652,0.407334,0.119342,0.307317,-0.414862,-0.511217,-0.842412,0.082555,-0.067151,-0.186732,-0.801917,-0.473307,-0.812557,-0.64093,0.22619,-0.826047,0.390421,0.726277,-0.670785,-0.12766,-0.43114,-0.817577,-0.884221,-0.010799,0.364706,0.15807,0.344498,-0.844197,-0.426923,0.087006,-0.613148,0.1341,-0.665379,-0.140741,-0.610366,0.08204,-0.370998,-0.469359,-0.246732,-0.3791,-0.983911,-0.500813,0.461244,-0.934701,-0.723605,-0.94526,-0.0452,0.313781,-0.766788,0.340448,-0.716022,normal
0.145009,-0.53675,0.375346,-0.415842,-0.310268,0.394469,0.223938,-0.315754,0.217047,0.037037,0.463415,-0.506144,-0.013365,-0.61965,-0.712617,-0.088929,-0.126536,-0.665906,-0.373698,-0.796785,-0.549559,0.303571,-0.542875,0.007257,1,-0.455959,0.12766,-0.903166,-0.657802,-0.701026,0.389489,-0.086275,-0.011647,0.105263,-0.868362,0.180769,-0.224859,-0.213654,0.666667,-0.455577,0.219753,-0.677001,-0.117073,-0.339925,-0.428969,0.045752,-0.517925,-0.954796,-0.804878,0.034072,-0.663472,-0.825824,-1,-0.205051,0.525071,-0.617907,0.101387,-0.692818,normal
0.043315,-0.761479,0.236397,-0.039604,-0.656524,0.478894,0.247104,-0.783836,0.508424,-0.251029,0.780488,0.133996,-0.754654,0.783074,-0.387072,-0.292196,-0.114251,-0.320858,0.116536,-0.455262,-0.110339,0.005952,0.106611,0.233672,0.021898,-0.74452,0.154255,-0.863579,-0.408269,-0.608207,0.089993,-0.109804,-0.171381,-0.253589,-0.814308,0.042308,0.297175,-0.522124,0.076628,-0.282472,-0.185185,-0.696437,-0.057206,-0.625235,0.062674,0.493464,0.148741,-0.97121,-0.557724,0.370528,0.043582,-0.453262,-0.098798,-0.251543,0.32135,-0.781364,0.103522,-0.562431,normal
0.318267,-0.502272,0.543191,-0.188119,0.33639,0.544396,0.289575,-0.353892,0.567889,0.246914,0.097561,-0.028672,-0.793795,0.558366,-0.130062,-0.147005,-0.194103,-0.663168,0.792969,-0.129512,0.641998,0.452381,0.720816,0.413643,0.481752,-0.713432,0.223404,-0.917988,-0.03075,-0.569614,-0.303096,-0.270588,0.121464,-0.311005,-0.914149,-0.1,0.105085,-0.537295,0.555556,0.585225,-0.002469,-0.459509,-0.051441,-0.180791,-0.006964,0.055556,0.589626,-0.935125,-0.539837,0.581772,-0.178224,1,-0.387183,-0.230019,0.373699,-0.739719,0.325507,0.649724,normal
0.416196,-0.800972,0.076545,-0.237624,0.208837,0.836972,0.258687,-0.921639,0.595639,0.09465,0.395122,-0.008777,-0.727924,0.406615,-0.714953,-0.248639,-0.324324,-0.742583,0.157552,0.131938,-0.0537,-0.065476,0.756711,0.338171,0.79562,-0.823834,-0.037234,-0.879647,-0.483898,-0.920371,-0.186465,0.113725,-0.414309,0.059809,-0.867091,-0.307692,-0.188701,-0.671302,0.072797,-0.253742,-0.195062,-0.888015,0.019069,-0.256121,-0.332869,-0.686275,1,-0.965283,-0.830894,0.506388,0.242324,-0.373235,-0.016021,-0.264457,-0.231788,-0.573139,0.329776,-0.676243,normal
0.386064,-0.329572,0.140486,-0.521452,0.223287,0.882096,0.316602,1,0.607532,0.539095,0.434146,-0.346987,-0.787589,-0.479572,-0.857477,-0.117967,-0.367322,-0.748973,-0.059896,-0.651198,-0.048357,-0.196429,0.313085,0.201742,0.729927,-0.700279,-0.207447,-0.579891,-0.595678,-0.760625,-0.166307,-0.133333,-0.168053,0.253589,-0.925596,-0.203846,-0.292655,-0.522124,-0.007663,-0.66055,-0.076543,-0.503933,-0.218182,-0.017891,-0.311978,0.178105,-0.270786,-0.957141,-0.77561,0.462521,-0.247866,-0.558171,-0.648865,-0.044339,0.076001,-0.497137,0.11206,-0.58895,normal
-0.054614,-0.89406,0.141715,-0.09901,-0.784077,0.622999,0.196911,-0.272551,0.048563,0.098765,0.429268,0.027501,-0.475895,-0.449416,0.049065,0.030853,-0.237101,-0.475126,-0.236979,-0.750682,-0.793748,0.053571,-0.806719,0.384615,0.087591,-0.742128,0.409574,-0.395423,-0.605651,-0.760625,-0.085673,-0.058824,-0.460899,-0.375598,-0.951033,-0.103846,0.245198,-0.590392,-0.015326,-0.45437,0.190123,-0.332716,0.062971,-0.276836,-0.334262,-0.120915,0.17315,-0.989774,-0.604878,0.342419,-0.902651,-0.763282,-0.670227,0.037452,0.243772,-0.373243,0.240128,-0.745856,normal
0.246704,-0.49569,0.282508,-0.349835,0.610949,0.048035,0.42471,0.291471,0.361744,0.279835,-0.278049,-0.102399,-0.986158,-0.42607,-0.83567,-0.339383,-0.679361,-0.863076,-0.405599,-0.427358,-0.549559,0.223214,-0.064274,0.332366,0.284672,-0.74452,0.244681,-0.85862,-0.64118,-0.492428,-0.110151,-0.282353,-0.494176,-0.490431,-0.829571,-0.1,-0.053107,-0.337547,0.32567,-0.684693,0.051852,-0.534475,0.064745,-0.286252,-0.204735,0.20098,-0.11823,-0.977202,-0.573984,0.602215,1,-0.753867,-0.425901,-0.131009,-0.046358,-0.62936,0.270011,-0.304972,normal
-0.088512,1,0.099908,-0.244224,-0.235515,0.36099,-0.019305,-0.79635,0.373637,0.353909,1,-0.157402,-0.427208,-0.603113,-0.800623,-0.132486,-0.438575,-0.771794,-0.622396,-0.855626,1,0.220238,-0.853352,0.155298,0.251825,-0.663212,-0.244681,-0.654054,-0.485768,-0.954079,-0.210943,-0.203922,0.051581,0.344498,-0.96566,-0.153846,-0.116384,-0.926675,0.344828,-0.630613,-0.071605,-0.737159,0.243902,-0.461394,-0.487465,-0.235294,-0.577422,-0.961765,-0.621138,0.352215,-0.70945,-0.720915,-0.531375,-0.108624,0.147903,-0.582509,0.342583,-0.827624,normal
